id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44345956,Istanbul'un her yerine kolay ulasim...,357573733,Çiğdem,,Beyoglu,41.04734,28.94607,Entire home/apt,450,5,0,,,1,365
44348182,"Garden flat in Prince islands, Heybeliada",357058432,Altan,,Adalar,40.88091,29.09218,Entire home/apt,350,5,1,2021-02-19,0.68,1,215
44348366,"İs a peaceful place inthe centerof Osmanbey""Şişli""",347895224,Elmira,,Sisli,41.04994,28.98589,Entire home/apt,463,2,0,,,6,363
44348556,Executive Studio with Terrace,231583481,Global Suites,,Sisli,41.04574,28.98356,Entire home/apt,297,1,1,2020-08-30,0.14,17,335
44348563,Executive Studio with Terrace,231583481,Global Suites,,Sisli,41.04394,28.98203,Entire home/apt,297,1,1,2020-12-29,0.32,17,335
44348666,city center 1+1,12691959,Mahmut,,Beyoglu,41.03537,28.97869,Entire home/apt,267,1,0,,,6,88
44348670,"Lüx eşyalı, merkezi konumda Loft",302740309,Ahmet,,Atasehir,40.97547,29.14909,Entire home/apt,185,30,0,,,1,364
44348882,Setak Hotel,345576935,Hoşnav,,Fatih,41.00748,28.95251,Private room,250,1,0,,,1,365
44348955,Beşiktaş'ta Merkezi konumda Stüdyo odalar,414003,,,Besiktas,41.0463,29.00598,Private room,384,1,0,,,10,365
44349253,city center 1+1,12691959,Mahmut,,Beyoglu,41.03462,28.97835,Entire home/apt,270,1,20,2021-03-13,2.45,6,87
44349418,"Downtown in Kadıköy, White House 2+1",266024274,Murat Şahin,,Kadikoy,40.99417,29.0311,Entire home/apt,208,21,7,2021-03-01,0.85,2,162
44349645,STANDARD SUITE,231583481,Global Suites,,Sisli,41.04539,28.98399,Entire home/apt,588,1,0,,,17,337
44349835,city center 1+1,12691959,Mahmut,,Beyoglu,41.03548,28.97871,Entire home/apt,279,1,10,2021-03-10,1.27,6,85
44350063,city center 1+1,12691959,Mahmut,,Beyoglu,41.03604,28.97856,Entire home/apt,291,1,9,2021-03-23,1.31,6,87
44350547,Cosy room close to Üsküdar and Kadıköy!,305322738,Seyma,,Uskudar,41.00476,29.06948,Private room,80,30,0,,,1,236
44353620,Bahçeli oda/ room with a garden,357808364,Büşra,,Sisli,41.07145,28.99804,Private room,100,7,0,,,1,28
44354173,Nice & Clean Flat + Free Wifi +shared apartment,302586805,Karim,,Avcilar,40.98031,28.73916,Private room,113,1000,0,,,3,0
44354311,MY VİLLA SUİTE,314642952,,,Pendik,40.87069,29.25838,Private room,200,1,0,,,2,365
44354768,Ferah ve Temiz Özel Oda,357838081,Vildan,,Kagithane,41.07996,29.00368,Private room,80,1,0,,,1,61
44356440,Apartmanda Size Özel Konforlu ve Temiz Oda,6995052,Fatih,,Esenyurt,41.01614,28.64934,Private room,85,1,7,2020-10-24,0.87,4,337
